words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators,frequency,quadrant
3000,17,62.0,74.6470588235294,8.0,24.941176470588236,8.0,6.588235294117647,5,17,Blue Ocean (藍海詞)
3F,11,34.0,176.8181818181818,4.0,6.636363636363637,3.0,6.2727272727272725,2,11,Blue Ocean (藍海詞)
40,13,56.0,67.53846153846153,4.0,5.461538461538462,2.0,1.9230769230769231,8,13,Blue Ocean (藍海詞)
5%,12,9.5,62.416666666666664,3.5,7.666666666666667,1.0,2.9166666666666665,5,12,Avoid (避開)
5000,34,9.0,48.470588235294116,5.5,13.5,0.0,0.20588235294117646,6,34,Red Ocean (紅海詞)
60,10,83.5,106.2,6.0,10.3,1.0,3.9,3,10,Blue Ocean (藍海詞)
65,15,32.0,99.86666666666666,5.0,11.733333333333333,0.0,0.9333333333333333,5,15,Blue Ocean (藍海詞)
70.8%,16,24.0,25.5,2.0,2.75,3.0,2.8125,1,16,Blue Ocean (藍海詞)
AI,152,8.0,18.93421052631579,1.0,2.723684210526316,0.0,0.6644736842105263,13,152,Red Ocean (紅海詞)
Ai,47,9.0,30.06382978723404,2.0,7.425531914893617,1.0,2.4468085106382977,2,47,Red Ocean (紅海詞)
Day,12,106.0,96.5,7.0,10.083333333333334,1.5,1.0833333333333333,4,12,Blue Ocean (藍海詞)
Gemini,12,8.0,22.083333333333332,0.5,3.75,0.0,1.25,4,12,Avoid (避開)
Google,44,13.0,16.386363636363637,0.0,2.4318181818181817,0.0,0.4772727272727273,5,44,Red Ocean (紅海詞)
Hello,12,46.5,169.5,10.0,61.333333333333336,1.0,1.25,1,12,Blue Ocean (藍海詞)
IG,66,25.0,40.60606060606061,2.0,12.075757575757576,0.0,1.3484848484848484,19,66,Star (明星詞)
IP,10,7.0,13.3,1.0,1.7,0.0,0.2,6,10,Avoid (避開)
Instagram,12,10.5,119.58333333333333,1.0,9.333333333333334,0.0,3.9166666666666665,6,12,Avoid (避開)
LINE,15,8.0,14.4,0.0,3.0,0.0,1.5333333333333334,3,15,Avoid (避開)
Meta,17,7.0,7.9411764705882355,0.0,0.17647058823529413,0.0,0.11764705882352941,2,17,Avoid (避開)
PM,11,25.0,132.36363636363637,1.0,3.6363636363636362,0.0,5.909090909090909,2,11,Blue Ocean (藍海詞)
POPUPASIA,20,10.5,9.05,0.0,1.35,0.5,1.6,1,20,Red Ocean (紅海詞)
Reels,10,4.0,7.0,0.0,0.5,0.0,0.0,3,10,Avoid (避開)
SEO,56,15.0,23.892857142857142,4.0,6.535714285714286,0.0,1.0892857142857142,4,56,Red Ocean (紅海詞)
Threads,78,41.5,57.35897435897436,52.0,67.62820512820512,1.0,1.2820512820512822,13,78,Star (明星詞)
Tip,10,32.0,28.9,2.5,2.8,0.0,0.3,2,10,Blue Ocean (藍海詞)
World,12,46.5,169.5,10.0,61.333333333333336,1.0,1.25,1,12,Blue Ocean (藍海詞)
YI,16,28.0,40.25,20.0,48.0625,1.0,1.0,1,16,Blue Ocean (藍海詞)
accupass,21,1.0,1.4761904761904763,0.0,0.19047619047619047,0.0,0.0,1,21,Red Ocean (紅海詞)
event,12,0.5,1.3333333333333333,0.0,0.16666666666666666,0.0,0.0,1,12,Avoid (避開)
helloworldcookies.1,13,7.0,6.384615384615385,0.0,0.0,0.0,0.15384615384615385,1,13,Avoid (避開)
momo,13,230.0,205.3846153846154,41.0,39.76923076923077,16.0,10.923076923076923,1,13,Blue Ocean (藍海詞)
myship.7,30,21.0,21.0,0.0,1.6333333333333333,1.0,2.1,4,30,Star (明星詞)
reels,10,4.5,6.4,1.0,1.8,0.0,0.0,1,10,Avoid (避開)
shop,13,7.0,6.384615384615385,0.0,0.0,0.0,0.15384615384615385,1,13,Avoid (避開)
一件,48,17.0,29.270833333333332,2.0,3.1041666666666665,0.0,0.6041666666666666,17,48,Red Ocean (紅海詞)
一份,20,48.0,111.95,3.5,11.75,0.0,0.8,13,20,Star (明星詞)
一位,42,39.0,86.76190476190476,3.0,19.476190476190474,0.0,1.119047619047619,15,42,Star (明星詞)
一切,32,29.5,52.3125,3.0,5.1875,0.0,0.28125,12,32,Star (明星詞)
一半,38,0.0,10.078947368421053,0.0,2.289473684210526,0.0,0.13157894736842105,10,38,Red Ocean (紅海詞)
一句,56,8.0,48.57142857142857,0.0,15.053571428571429,0.0,1.2321428571428572,18,56,Red Ocean (紅海詞)
一堆,17,19.0,102.3529411764706,3.0,11.0,1.0,2.4705882352941178,10,17,Blue Ocean (藍海詞)
一場,27,8.0,16.14814814814815,1.0,6.62962962962963,0.0,0.6666666666666666,13,27,Red Ocean (紅海詞)
一天,57,23.0,74.50877192982456,1.0,8.350877192982455,0.0,2.543859649122807,21,57,Star (明星詞)
一年,61,42.0,93.85245901639344,4.0,8.62295081967213,0.0,1.7868852459016393,21,61,Star (明星詞)
一條,17,3.0,25.470588235294116,0.0,2.588235294117647,0.0,0.29411764705882354,8,17,Avoid (避開)
一次,87,25.0,65.816091954023,3.0,9.528735632183908,0.0,1.1379310344827587,25,87,Star (明星詞)
一步,28,17.0,37.035714285714285,2.0,7.5,0.0,0.32142857142857145,12,28,Red Ocean (紅海詞)
一段,27,8.0,14.518518518518519,0.0,1.6666666666666667,0.0,0.037037037037037035,13,27,Red Ocean (紅海詞)
一種,41,11.0,43.75609756097561,2.0,3.8536585365853657,0.0,1.3170731707317074,17,41,Red Ocean (紅海詞)
一篇,17,29.0,45.294117647058826,2.0,32.11764705882353,0.0,1.7647058823529411,8,17,Blue Ocean (藍海詞)
一路,18,62.0,117.55555555555556,14.0,32.44444444444444,0.5,1.3333333333333333,8,18,Star (明星詞)
一邊,11,2.0,8.272727272727273,0.0,1.0909090909090908,0.0,0.0,3,11,Avoid (避開)
一開始,25,27.0,61.68,3.0,11.16,0.0,0.64,15,25,Star (明星詞)
一間,13,19.0,132.07692307692307,1.0,28.846153846153847,0.0,0.8461538461538461,7,13,Blue Ocean (藍海詞)
三件,13,31.0,73.0,7.0,10.923076923076923,1.0,1.3076923076923077,5,13,Blue Ocean (藍海詞)
三個,15,17.0,39.6,1.0,1.7333333333333334,0.0,0.26666666666666666,9,15,Avoid (避開)
上架,27,38.0,61.370370370370374,4.0,9.777777777777779,0.0,1.962962962962963,10,27,Star (明星詞)
上班,25,40.0,67.4,3.0,25.2,0.0,0.84,13,25,Star (明星詞)
下來,23,30.0,81.78260869565217,2.0,5.3478260869565215,0.0,2.0434782608695654,15,23,Star (明星詞)
下午,22,15.0,82.36363636363636,1.5,8.818181818181818,0.5,1.0909090909090908,12,22,Red Ocean (紅海詞)
下單,28,21.5,69.57142857142857,3.5,18.285714285714285,1.0,1.6785714285714286,10,28,Star (明星詞)
下班,12,31.0,40.666666666666664,6.5,18.75,0.0,0.6666666666666666,7,12,Blue Ocean (藍海詞)
下面,10,16.0,21.2,4.5,6.1,0.0,0.4,7,10,Avoid (避開)
不了,10,6.5,21.1,0.0,6.2,0.0,0.7,8,10,Avoid (避開)
不到,33,32.0,66.6969696969697,2.0,10.333333333333334,0.0,3.0303030303030303,16,33,Star (明星詞)
不同,55,17.0,68.65454545454546,2.0,7.454545454545454,0.0,3.0,18,55,Red Ocean (紅海詞)
不夠,29,4.0,15.03448275862069,0.0,2.5517241379310347,0.0,0.10344827586206896,12,29,Red Ocean (紅海詞)
不好,37,32.0,109.5945945945946,3.0,8.756756756756756,0.0,3.2432432432432434,16,37,Star (明星詞)
不如,11,9.0,60.45454545454545,0.0,10.727272727272727,0.0,4.545454545454546,9,11,Avoid (避開)
不怕,14,19.5,133.35714285714286,1.5,6.714285714285714,0.0,1.1428571428571428,9,14,Blue Ocean (藍海詞)
不想,41,12.0,94.36585365853658,2.0,7.0,0.0,1.975609756097561,16,41,Red Ocean (紅海詞)
不敢,26,7.5,27.923076923076923,0.0,2.1923076923076925,0.0,0.4230769230769231,11,26,Red Ocean (紅海詞)
